╧ О/О;ьРПХУ-ЙНД ОЮПРХХ;мЮХЛЕМНБЮМХЕ РНБЮПЮ;оНЯРЮБЫХЙ;дЮРЮ ОПХУНДМНЦН ДНЙСЛЕМРЮ;мНЛЕП ОПХУНДМНЦН ДНЙСЛЕМРЮ;дЮРЮ МЮЙКЮДМНИ;мНЛЕП МЮЙКЮДМНИ;йНК-БН;яСЛЛЮ Б ГЮЙСОНВМШУ ЖЕМЮУ АЕГ мдя;яРЮБЙЮ мдя ОНЯРЮБЫХЙЮ;яСЛЛЮ мдя;яСЛЛЮ Б ГЮЙСОНВМШУ ЖЕМЮУ Я мдя
988;200200072417;мсрпхдпхмй ялеяэ д/щмреп. охрюмхъ аюмюм 200лк.;оПНРЕЙ;13.08.2021;2003186;13.08.2021;163223326-001;1;181.08;20%;36.22;217.30
989;200200072421;рпюбнцем 1% 20ц. йпел;оПНРЕЙ;13.08.2021;2003186;13.08.2021;163223326-001;1;662.69;10%;66.27;728.96
990;200200072442;кхб-52 ╧100 рюа.;цпюмд йюохрюк ялнкемяй ннн тй;14.08.2021;2003190;14.08.2021;21-0-525746;1;320.65;10%;32.07;352.72
991;200200072463;бемюпся 100ц. цекэ;оСКЭЯ ;14.08.2021;2003192;13.08.2021;апм00582957;1;346.50;20%;69.30;415.80
992;200200072475;бхмхкхм аюкэгюл ьнярюйнбяйнцн 100ц. тк. /рюрухлтюпл/;оСКЭЯ ;14.08.2021;2003193;13.08.2021;апм00582958;1;117.05;10%;11.71;128.76
993;200200072488;мнкхопек ю ах-тнпре 10лц.+2,5лц. ╧30 рюа. о/о/н;оСКЭЯ ;14.08.2021;2003193;13.08.2021;апм00582958;1;640.19;10%;64.02;704.21
994;200200072501;кнпю 1,2ц. ╧30 рюа. /щбюкюп/;юБЕЯРЮ ;14.08.2021;2003194;14.08.2021;2410418;1;336.71;20%;67.34;404.05
995;200200072532;янпахтеп дспскея 320лц/60лц. ╧50 рюа. о/н;гДПЮБЯЕПБХЯ;16.08.2021;2003202;16.08.2021;E12464895/37028108;1;482.42;10%;48.24;530.66
996;200200072542;кеямни аюкэгюл нонкюяй. д/прю йедп.нпеьйх+ьюктеи 250лк.;гДПЮБЯЕПБХЯ;16.08.2021;2003203;16.08.2021;E12464895/37024612;1;66.30;20%;13.26;79.56
997;200200072566;яйхмнйкхп 20% 30ц. йпел д/мюпсф.опхл.;цпюмд йюохрюк ялнкемяй ннн тй;16.08.2021;2003204;16.08.2021;21-0-526463;1;463.91;10%;46.39;510.30
998;200200072573;вюцю аепегнбши цпха 50ц. /йпюямнцнпяй/;цпюмд йюохрюк ялнкемяй ннн тй;16.08.2021;2003204;16.08.2021;21-0-526463;1;77.87;10%;7.79;85.66
999;200200072585;кю-йпх йпел д/всбярб. йнфх 30ц. /бепре/;оСКЭЯ ;16.08.2021;2003206;15.08.2021;апм00584506;1;180.00;20%;36.00;216.00
1000;200200072589;опнретхйя йпел щйярпю яхкэмши тхйяхп. лърю 40лк. [PROTEFIX];оСКЭЯ ;16.08.2021;2003206;15.08.2021;апм00584506;1;189.78;20%;37.96;227.74
1001;200200072595;юйбюдерпхл 1000ле. ╧60 рюа. пюярб.;оСКЭЯ ;16.08.2021;2003207;15.08.2021;апм00584507;1;546.62;10%;54.66;601.28
1002;200200072603;апсямхйх кхяр 1,5ц. ╧20 оюй. /йпюямнцнпяй/;оСКЭЯ ;16.08.2021;2003207;15.08.2021;апм00584507;1;66.55;10%;6.65;73.20
1003;200200072611;йюкэжхи д3 мхйнлед тнпре кхлнм ╧120 рюа.феб.;оСКЭЯ ;16.08.2021;2003207;15.08.2021;апм00584507;1;616.72;10%;61.67;678.39
1004;200200072636;опнмнпюм 50лц. ╧30 рюа. йнмрп.бшяб. о/н /яепбэе/;оСКЭЯ ;16.08.2021;2003207;15.08.2021;апм00584507;1;296.96;10%;29.70;326.66
1005;200200072640;яхлбюярюрхм 20лц. ╧30 рюа. о/о/н /бепрейя/;оСКЭЯ ;16.08.2021;2003207;15.08.2021;апм00584507;1;202.00;10%;20.20;222.20
1006;200200072644;рекгюо 40лц. ╧90 рюа.;оСКЭЯ ;16.08.2021;2003207;15.08.2021;апм00584507;1;629.66;10%;62.97;692.63
1007;200200072645;рпхцпхл 10лц. ╧30 рюа.;оСКЭЯ ;16.08.2021;2003207;15.08.2021;апм00584507;1;421.45;10%;42.14;463.59
1008;200200072662;аепндсюк м 20лйц+50лйц/днгю 200днг 10лк. ющпнгнкэ д/хмц. /аепхмцеп/;оПНРЕЙ;16.08.2021;2003209;16.08.2021;163371317-002;1;397.82;10%;39.78;437.60
1009;200200072692;лерхопед 4лц. ╧30 рюа. /нпхнм/;оПНРЕЙ;16.08.2021;2003209;16.08.2021;163371317-002;1;252.22;10%;25.22;277.44
1010;200200072697;мхгнпюк 20лц/лк. 60лк. ьюлосмэ;оПНРЕЙ;16.08.2021;2003209;16.08.2021;163371317-002;1;585.36;10%;58.54;643.90
1011;200200072703;опнярюлнк смн 320лц. ╧90 йюоя. /аепкхм уелх/;оПНРЕЙ;16.08.2021;2003209;16.08.2021;163371317-002;1;1635.44;10%;163.54;1798.98
1012;200200072715;репюткейя 500+400лц. ╧60 йюоя.;оПНРЕЙ;16.08.2021;2003209;16.08.2021;163371317-002;1;1263.18;10%;126.32;1389.50
1013;200200072738;унккя кедемжш юпасг ╧9 [HALLS];мНПЛЮМ;17.08.2021;2003217;16.08.2021;533475;1;16.08;20%;3.22;19.29
1014;200200072745;югнор 1% 5лк. ╧1 цк.йюокх тк./йюо.;юПЮК ОКЧЯ;17.08.2021;2003218;16.08.2021;8277710;1;717.82;10%;71.78;789.60
1015;200200072768;н.а. рюлонмш нпхдфхмюк ясоеп ╧16 [OB];юПЮК ОКЧЯ;17.08.2021;2003219;16.08.2021;8277709;1;102.68;20%;20.54;123.22
1016;200200072781;юмхяю окндш 50ц. /гднпнбэе/;йЮРПЕМ Ц.уХЛЙХ;17.08.2021;2003223;16.08.2021;7073538-30;1;64.85;10%;6.49;71.34
1017;200200072787;цсррюкюйя 5лц. ╧20 рюа.;йЮРПЕМ Ц.уХЛЙХ;17.08.2021;2003223;16.08.2021;7073538-30;1;200.14;10%;20.01;220.15
1018;200200072801;рюмюйюм 40лц. ╧30 рюа. о/н;йЮРПЕМ Ц.уХЛЙХ;17.08.2021;2003223;16.08.2021;7073538-30;1;589.67;10%;58.97;648.64
1019;200200072803;тспюлюц 50лц. ╧30 йюоя. /нкюимтюпл/;йЮРПЕМ Ц.уХЛЙХ;17.08.2021;2003223;16.08.2021;7073538-30;1;606.60;10%;60.66;667.26
1020;200200072804;жхопюкейя 10лц. ╧14 рюа.;йЮРПЕМ Ц.уХЛЙХ;17.08.2021;2003223;16.08.2021;7073538-30;1;918.56;10%;91.86;1010.42
1021;200200072811;янкцюп лскэрх-I ╧30 рюа.;йЮРПЕМ Ц.уХЛЙХ;17.08.2021;2003223;16.08.2021;7073538-30;1;740.35;20%;148.07;888.42
1022;200200072818;реяр-щйяопеяя д/нопед. юмрхрек ACCU NEWS COVID-19 SARS-COV-2 IGM/IGG;цпюмд йюохрюк ялнкемяй ннн тй;17.08.2021;2003225;17.08.2021;21-0-530421;1;500.00;10%;50.00;550.00
1023;200200072842;темчкэя ╧30 йюоя.;оСКЭЯ ;17.08.2021;2003227;16.08.2021;апм00587592;1;223.88;10%;22.39;246.27
1024;200200072853;гхпрей 10лц. ╧20 рюа. о/о/н /чяа тюпьхл/;оСКЭЯ ;17.08.2021;2003228;16.08.2021;апм00587593;1;159.27;10%;15.93;175.20
1025;200200072861;лереняоюглхк ╧30 йюоя.;оСКЭЯ ;17.08.2021;2003228;16.08.2021;апм00587593;1;412.56;10%;41.26;453.82
1026;200200072866;мхрпнтсмцхм-ребю 25лк. яохпр. п-п;оСКЭЯ ;17.08.2021;2003228;16.08.2021;апм00587593;1;274.24;10%;27.42;301.66
1027;200200072868;мспнтем щйяопеяя кедх 400лц. ╧12 рюа. о/н /пейхрр аемйхгеп/;оСКЭЯ ;17.08.2021;2003228;16.08.2021;апм00587593;1;167.34;10%;16.73;184.07
1028;200200072873;яоюглюкцнм щттейр ╧30 рюа. о/о/н;оСКЭЯ ;17.08.2021;2003228;16.08.2021;апм00587593;1;293.67;10%;29.37;323.04
1029;200200072891;янкцюп йюмцюбхрея бхр.я юоекэяхм 100лц. ╧90 рюа.;гДПЮБЯЕПБХЯ;17.08.2021;2003230;17.08.2021;E12476400/37051540;1;524.70;20%;104.94;629.64
1030;200200072900;юрнпбюярюрхм 10лц. ╧30 рюа. о/о/н /йюмнмтюплю/;юБЕЯРЮ ;17.08.2021;2003232;17.08.2021;л2434292;1;74.20;10%;7.42;81.62
1031;200200072906;онкшмх цнпэйни рпюбю 50ц. /йпюямнцнпяй/;юБЕЯРЮ ;17.08.2021;2003232;17.08.2021;л2434292;1;42.26;10%;4.23;46.49
1032;200200072909;юккецпю 180лц. ╧10 рюа. о/о/н;оПНРЕЙ;17.08.2021;2003234;17.08.2021;163478169-002;1;556.83;10%;55.68;612.51
1033;200200072914;дхюдемр гса.оюярю пецскъп 50лк.;оПНРЕЙ;17.08.2021;2003234;17.08.2021;163478169-002;1;63.94;20%;12.79;76.73
1034;200200072915;дхахйнп 250лц. ╧60 рюа.;оПНРЕЙ;17.08.2021;2003234;17.08.2021;163478169-002;1;230.83;10%;23.08;253.91
1035;200200072928;янкцюп йюмцюбхрея бхр.я юоекэяхм 100лц. ╧90 рюа.;оПНРЕЙ;17.08.2021;2003234;17.08.2021;163478169-002;1;523.74;20%;104.75;628.49
1036;200200072934;юбндюпр 0,5лц. ╧30 йюоя.;гДПЮБЯЕПБХЯ;18.08.2021;2003239;18.08.2021;E12488386/37089403;1;1752.09;10%;175.21;1927.30
1037;200200072944;йхебцслю ахмр люпремяю 5л.;гДПЮБЯЕПБХЯ;18.08.2021;2003240;18.08.2021;E12488386/37083432;1;138.10;10%;13.81;151.91
1038;200200072953;911-ьюлосмэ ксйнбши щйярпюйр йпюохбш 150лк.;"ннн ""юЙЖЕМРЛЕД""";18.08.2021;2003241;18.08.2021;бл0330231;1;86.32;20%;17.26;103.58
1039;200200072960;перхмнкю южерюр 33000ле ╧30 йюоя. (бхрюлхм ю) /люпахнтюпл/;"ннн ""юЙЖЕМРЛЕД""";18.08.2021;2003241;18.08.2021;бл0330231;1;22.61;10%;2.26;24.87
1040;200200072967;щухмюжеъ мюярнийю 50лк. /рскэяйюъ тт/;"ннн ""юЙЖЕМРЛЕД""";18.08.2021;2003241;18.08.2021;бл0330231;1;86.73;10%;8.67;95.40
1041;200200072974;юпрпюйюл 1,5ц. ╧20 онп. д/п-пю д/опхелю бмсрпэ оюй.;оСКЭЯ ;18.08.2021;2003242;17.08.2021;апм00590836;1;795.46;10%;79.55;875.01
1042;200200072982;бюгхкхо 20лц. ╧28 рюа. о/о/н /KRKA/;оСКЭЯ ;18.08.2021;2003242;17.08.2021;апм00590836;1;422.56;10%;42.26;464.82
1043;200200072985;цсррюяхк 7,5лц. ╧30 рюа.;оСКЭЯ ;18.08.2021;2003242;17.08.2021;апм00590836;1;208.83;10%;20.88;229.71
1044;200200073012;ункняюя 215лк. (300ц.) яхпно /юкрюибхрюлхмш/;оСКЭЯ ;18.08.2021;2003242;17.08.2021;апм00590836;1;105.75;10%;10.58;116.33
1045;200200073016;ндеярнм 200лц. ╧50 рюа.;оСКЭЯ ;18.08.2021;2003243;17.08.2021;апм00590835;1;455.41;10%;45.54;500.95
1046;200200073020;бюлкняер 10лц.+160лц. ╧90 рюа. о/о/н;йЮРПЕМ Ц.уХЛЙХ;18.08.2021;2003245;18.08.2021;7103855-30;1;974.15;10%;97.42;1071.57
1047;200200073026;яхяреим аюкюмя 10лк. цк.йюокх;йЮРПЕМ Ц.уХЛЙХ;18.08.2021;2003245;18.08.2021;7103855-30;1;428.24;10%;42.82;471.06
1048;200200073063;кхопхлюп 10лц. ╧30 рюа. о/о/н /цедейе/отюигеп/;цпюмд йюохрюк ялнкемяй ннн тй;18.08.2021;2003248;18.08.2021;21-0-533553;1;159.25;10%;15.93;175.18
1049;200200073068;лхйпнкюйя 5лк. ╧4 п-п д/пейр. ббед. лхйпнйкхглю;цпюмд йюохрюк ялнкемяй ннн тй;18.08.2021;2003248;18.08.2021;21-0-533553;1;311.64;10%;31.16;342.80
1050;200200073075;тсйнпжхм 25лк. п-п д/мюпсф.опхл. тк. /яюлюпюледопнл/;цпюмд йюохрюк ялнкемяй ннн тй;18.08.2021;2003248;18.08.2021;21-0-533553;1;18.76;10%;1.88;20.64
1051;200200073092;бхрпсл бхфм окчя ╧60 рюа. о/н;оПНРЕЙ;18.08.2021;2003250;18.08.2021;163573370-003;1;1114.38;20%;222.88;1337.26
1052;200200073098;бепаемю йюпюлекэ ьюктеи 60ц. [VERBENA];оПНРЕЙ;18.08.2021;2003250;18.08.2021;163573370-003;1;45.51;20%;9.10;54.61
1053;200200073100;йкхмяю кеийнокюяр. тхйя. рйюм. нямнбю 4у500;оПНРЕЙ;18.08.2021;2003250;18.08.2021;163573370-003;1;96.16;10%;9.62;105.78
1054;200200073103;мебюмюй 0,1% 5лк. ╧1 цк.йюокх тк./йюо.;оПНРЕЙ;18.08.2021;2003250;18.08.2021;163573370-003;1;583.04;10%;58.30;641.34
1055;200200073108;мсрпхдпхмй ялеяэ д/щмреп. охрюмхъ бюмхкэ 200лк.;оПНРЕЙ;18.08.2021;2003250;18.08.2021;163573370-003;1;180.93;20%;36.19;217.12
1056;200200073136;бхюцпю 100лц. ╧12 рюа. о/о/н;оСКЭЯ ;19.08.2021;2003262;18.08.2021;апм00593921;1;5504.71;10%;550.47;6055.18
1057;200200073137;цхоняюпр 16лц. ╧28 рюа.;оСКЭЯ ;19.08.2021;2003262;18.08.2021;апм00593921;1;285.10;10%;28.51;313.61
1058;200200073138;гюкюхм 2% 20ц. йпел;оСКЭЯ ;19.08.2021;2003262;18.08.2021;апм00593921;1;441.96;10%;44.20;486.16
1059;200200073157;жепернм 400лц. ╧28 йюоя. /янрейя/;оСКЭЯ ;19.08.2021;2003262;18.08.2021;апм00593921;1;857.74;10%;85.77;943.51
1060;200200073171;яоюпейя 200лц. ╧30 йюоя.опнкнмц. /йюмнмтюплю/;юБЕЯРЮ ;19.08.2021;2003264;19.08.2021;л2462440;1;269.81;10%;26.98;296.79
1061;200200073173;вюцю аепегнбши цпха 50ц. /йпюямнцнпяй/;юБЕЯРЮ ;19.08.2021;2003264;19.08.2021;л2462440;1;77.62;10%;7.76;85.38
1062;200200073182;кнжепхк 5% 5лк. ╧1 кюй д/мнцреи тк.;гДПЮБЯЕПБХЯ;19.08.2021;2003265;19.08.2021;E12499063/37115027;1;1360.10;10%;136.01;1496.11
1063;200200073184;оепяем мнвэ ╧20 йюоя. /кей/;гДПЮБЯЕПБХЯ;19.08.2021;2003265;19.08.2021;E12499063/37115027;1;342.00;10%;34.20;376.20
1064;200200073211;нкюгнкэ 80ц. ющпнгнкэ /юкрюибхрюлхмш/;цпюмд йюохрюк ялнкемяй ннн тй;19.08.2021;2003267;19.08.2021;21-0-536022;1;203.15;10%;20.32;223.47
1065;200200073216;щйятнпф 5лц+160лц. ╧28 рюа. о/о/н;цпюмд йюохрюк ялнкемяй ннн тй;19.08.2021;2003267;19.08.2021;21-0-536022;1;1881.65;10%;188.17;2069.82
1066;200200073221;асяепекхм-деон 3,75лц. ╧1 кхнт. д/ясяо. д/б/л тк. /тюпл-яхмрег/;оПНРЕЙ;19.08.2021;2003269;19.08.2021;163661672-001;1;3177.24;10%;317.72;3494.96
1067;200200073250;йн-оепхмебю 2,5лц.+8лц. ╧90 рюа. /KRKA/;йЮРПЕМ Ц.уХЛЙХ;20.08.2021;2003274;20.08.2021;7176433-30;1;966.52;10%;96.65;1063.17
1068;200200073251;смхокюяр кеийнокюяр. 2,5у500 опнгп. окемйю тхйя.;йЮРПЕМ Ц.уХЛЙХ;20.08.2021;2003274;20.08.2021;7176433-30;1;101.31;10%;10.13;111.44
1069;200200073256;мюрпхъ рхняскэтюр 300лц/лк. 10лк. ╧10 п-п д/б/б юло. /мнбняхаухлтюпл/;йЮРПЕМ Ц.уХЛЙХ;20.08.2021;2003274;20.08.2021;7176433-30;1;77.22;10%;7.72;84.94
1070;200200073258;охнаюйрепхнтюц йнлокейямши 100лк. ╧1 п-п д/опхелю бмсрпэ,д/леяр. х мюпсф.опхл. тк.;йЮРПЕМ Ц.уХЛЙХ;20.08.2021;2003274;20.08.2021;7176433-30;1;797.94;10%;79.79;877.73
1071;200200073281;щяйнпдх йнп 2,5лц. ╧30 рюа.;йЮРПЕМ Ц.уХЛЙХ;20.08.2021;2003275;19.08.2021;7176078-30;1;420.87;10%;42.09;462.96
1072;200200073283;целюрнцем деряйхи окчя 50ц. окхрйю;йЮРПЕМ Ц.уХЛЙХ;20.08.2021;2003275;19.08.2021;7176078-30;1;22.30;20%;4.46;26.76
1073;200200073288;югекхй 15% 30ц. ╧1 цекэ д/мюпсф.опхл. рсаю /юйпхухм/;оСКЭЯ ;20.08.2021;2003276;19.08.2021;апм00597114;1;576.17;10%;57.62;633.79
1074;200200073300;цеоюрпнлахм ц ╧10 ясоо. пейр. /уелнтюпл/;оСКЭЯ ;20.08.2021;2003276;19.08.2021;апм00597114;1;279.54;10%;27.95;307.49
1075;200200073314;д-оюмремнк мнбюремнк 5% 25ц. люгэ д/мюпсф.опхл. /щцхя/ъдпюм/;оСКЭЯ ;20.08.2021;2003276;19.08.2021;апм00597114;1;216.73;10%;21.67;238.40
1076;200200073319;нрпхн 10лц. ╧30 рюа. о/н /юйпхухм/;оСКЭЯ ;20.08.2021;2003276;19.08.2021;апм00597114;1;481.60;10%;48.16;529.76
1077;200200073331;жепернм 400лц. ╧28 йюоя. /янрейя/;оСКЭЯ ;20.08.2021;2003276;19.08.2021;апм00597114;1;857.76;10%;85.78;943.54
1078;200200073335;ъпхмю окчя ╧28 рюа. о/о/н;оСКЭЯ ;20.08.2021;2003276;19.08.2021;апм00597114;1;1063.86;10%;106.39;1170.25
1079;200200073338;янкцюп дфемрк юипнм кецйн днярсом. фекегн ╧90 йюоя.;оСКЭЯ ;20.08.2021;2003277;19.08.2021;апм00597113;1;782.55;20%;156.51;939.06
1080;200200073342;щлнкхсл йпел сунд гю кхжнл х рекнл 75лк.;цпюмд йюохрюк ялнкемяй ннн тй;20.08.2021;2003278;20.08.2021;21-0-539518;1;561.68;20%;112.34;674.02
1081;200200073353;мейяр смн щйяопеяя 200лц. ╧10 йюоя. /нрхяхтюпл/;цпюмд йюохрюк ялнкемяй ннн тй;20.08.2021;2003279;20.08.2021;21-0-539517;1;110.49;10%;11.05;121.54
1082;200200073355;оюпхер 10лц. ╧14 рюа.йь/пюярб.;цпюмд йюохрюк ялнкемяй ннн тй;20.08.2021;2003279;20.08.2021;21-0-539517;1;1335.06;10%;133.51;1468.57
1083;200200073359;телнярнм лхмх 2,5лц.+0,5лц. ╧28 рюа. о/о/н;цпюмд йюохрюк ялнкемяй ннн тй;20.08.2021;2003279;20.08.2021;21-0-539517;1;984.59;10%;98.46;1083.05
1084;200200073364;яюкхонд кеийнокюяр. лнгнкэмши мюанп ╧11 /бепнтюпл/;гДПЮБЯЕПБХЯ;20.08.2021;2003280;20.08.2021;E12510130/37133522;1;72.73;10%;7.27;80.00
1085;200200073365;яюкхонд кеийнокюяр. лнгнкэмши мюанп ╧11 /бепнтюпл/;гДПЮБЯЕПБХЯ;20.08.2021;2003280;20.08.2021;E12510130/37133522;1;72.73;10%;7.27;80.00
1086;200200073383;щмюл 10лц. ╧20 рюа. /д-п педдх/;гДПЮБЯЕПБХЯ;20.08.2021;2003281;20.08.2021;E12510130/37137912;1;43.09;10%;4.31;47.40
1087;200200073395;щяяемжхюке м 250лц/5лк. 5лк. п-п д/б/б ббед. ╧5 юло.;оПНРЕЙ;20.08.2021;2003284;20.08.2021;163754943-001;1;1191.01;10%;119.10;1310.11
1088;200200073400;юяоепю люякн бхмнцп.йнярнвйю йнялер. бхрюл.-юмрхнйя. йнлок. 30лк.;оПНРЕЙ;20.08.2021;2003285;20.08.2021;163754943-003;1;64.91;20%;12.98;77.89
1089;200200073407;мейяр 400+200лц. ╧20 рюа. о/о/н;оПНРЕЙ;20.08.2021;2003285;20.08.2021;163754943-003;1;202.64;10%;20.26;222.90
1090;200200073416;онкэйнпрнкнм 4лц. ╧50 рюа.;оПНРЕЙ;20.08.2021;2003285;20.08.2021;163754943-003;1;351.05;10%;35.11;386.16
1091;200200073436;охпюмрек 250лц/5лк. 15лк. ясяо. тк. /ледюмю/;юБЕЯРЮ ;21.08.2021;2003290;21.08.2021;л2490575;1;42.01;10%;4.20;46.21
1092;200200073440;щсрхпнйя 125лйц. ╧100 рюа. /лепй/;юБЕЯРЮ ;21.08.2021;2003290;21.08.2021;л2490575;1;125.39;10%;12.54;137.93
1093;200200073443;цемепнкнм 2% 60лк. ╧1 яопеи д/мюпсф.опхл. тк.;йЮРПЕМ Ц.уХЛЙХ;23.08.2021;2003296;22.08.2021;7236559-30;1;454.46;10%;45.45;499.91
1094;200200073454;кюовюрйю йнпмебхыю 50ц. оюй. /гднпнбэе/;йЮРПЕМ Ц.уХЛЙХ;23.08.2021;2003297;22.08.2021;7242379-30;1;88.12;10%;8.81;96.93
1095;200200073462;теппсл-кей 50лц/лк. 2лк. ╧5 п-п д/б/л юло.;йЮРПЕМ Ц.уХЛЙХ;23.08.2021;2003297;22.08.2021;7242379-30;1;1168.22;10%;116.82;1285.04
1096;200200073470;кедх-я тнплскю д/йнфх бнкня х мнцреи сяхк.тнплскю ╧60 рюа.;йЮРПЕМ Ц.уХЛЙХ;23.08.2021;2003297;22.08.2021;7242379-30;1;872.24;20%;174.45;1046.69
1097;200200073471;щбн ьюлосмэ д/бнкня оюмремнк 250лк. [EVO] /юбюмрю/;йЮРПЕМ Ц.уХЛЙХ;23.08.2021;2003297;22.08.2021;7242379-30;1;152.73;20%;30.55;183.28
1098;200200073472;днйрнп ахнйнм яхмъй-OFF цекэ 30ц.;йЮРПЕМ Ц.уХЛЙХ;23.08.2021;2003297;22.08.2021;7242379-30;1;92.16;20%;18.43;110.59
1099;200200073476;юпнлюгхм 25лц. ╧30 рюа. о/н;йЮРПЕМ Ц.уХЛЙХ;23.08.2021;2003298;20.08.2021;7202600-30;1;1257.38;10%;125.74;1383.12
1100;200200073500;д-оюмремнк-мхфтюпл окчя 30ц. йпел д/мюпсф.опхл. рсаю;цпюмд йюохрюк ялнкемяй ннн тй;23.08.2021;2003299;23.08.2021;21-0-542964;1;231.25;10%;23.13;254.38
1101;200200073516;рюпдхтепнм 80лц. ╧30 рюа.опнкнмц. о/о/н;цпюмд йюохрюк ялнкемяй ннн тй;23.08.2021;2003299;23.08.2021;21-0-542964;1;312.13;10%;31.21;343.34
1102;200200073520;щдюпах 80лц. ╧28 рюа.;цпюмд йюохрюк ялнкемяй ннн тй;23.08.2021;2003299;23.08.2021;21-0-542964;1;808.27;10%;80.83;889.10
1103;200200073527;йеярхм 20лц. ╧10 рюа. о/н;цпюмд йюохрюк ялнкемяй ннн тй;23.08.2021;2003300;23.08.2021;21-0-542965;1;377.69;10%;37.77;415.46
1104;200200073536;юйрнбецхм 200лц. ╧50 рюа. о/н;цпюмд йюохрюк ялнкемяй ннн тй;23.08.2021;2003301;21.08.2021;21-0-541831;1;1372.84;10%;137.28;1510.12
1105;200200073537;юлекнрейя 15лц. ╧20 рюа.;цпюмд йюохрюк ялнкемяй ннн тй;23.08.2021;2003301;21.08.2021;21-0-541831;1;168.99;10%;16.90;185.89
1106;200200073556;йяхлекхм щйн 0,1% 140лйц/днгю 60днг 10лк. ╧1 мюгюк.яопеи днгхп. тк. /мхйнлед/;цпюмд йюохрюк ялнкемяй ннн тй;23.08.2021;2003302;21.08.2021;21-0-541832;1;137.79;10%;13.78;151.57
1107;200200073557;смхокюяр кеийнокюяр. аюйреп. мюрсп. 1,9у7,2ял. ╧20;цпюмд йюохрюк ялнкемяй ннн тй;23.08.2021;2003302;21.08.2021;21-0-541832;1;74.70;10%;7.47;82.17
1108;200200073571;цхоняюпр 32лц. ╧28 рюа.;оСКЭЯ ;23.08.2021;2003303;22.08.2021;апм00602009;1;381.04;10%;38.10;419.14
1109;200200073573;дхмюлхйн 100лц. ╧4 рюа. о/о/н;оСКЭЯ ;23.08.2021;2003303;22.08.2021;апм00602009;1;825.16;10%;82.52;907.68
1110;200200073574;дхо пхкхт цекэ 100ц. рсаю;оСКЭЯ ;23.08.2021;2003303;22.08.2021;апм00602009;1;460.57;10%;46.06;506.63
1111;200200073578;йнлтндепл 0,1% 15ц. люгэ д/мюпсф.опхл. /юйпхухм/;оСКЭЯ ;23.08.2021;2003303;22.08.2021;апм00602009;1;272.36;10%;27.24;299.60
1112;200200073604;яхкдемютхк-яг 50лц. ╧20 рюа. о/о/н /яебепмюъ гбегдю/;оСКЭЯ ;23.08.2021;2003303;22.08.2021;апм00602009;1;426.18;10%;42.62;468.80
1113;200200073609;тхмкеояхм перюпд 200лц. ╧50 рюа.опнкнмц. /ребю/юбд тюплю/;оСКЭЯ ;23.08.2021;2003303;22.08.2021;апм00602009;1;161.69;10%;16.17;177.86
1114;200200073616;бегхйюп 10лц. ╧30 рюа. о/о/н /юяреккюя/;оСКЭЯ ;23.08.2021;2003304;22.08.2021;апм00602008;1;980.09;10%;98.01;1078.10
1115;200200073620;йкюпенк цекэ-щйятнкхюмр лъц. нвхы. 10лк.;оСКЭЯ ;23.08.2021;2003304;22.08.2021;апм00602008;1;1107.28;20%;221.46;1328.74
1116;200200073623;нлецюмнк тнпре ╧30 йюоя.;оСКЭЯ ;23.08.2021;2003304;22.08.2021;апм00602008;1;221.52;20%;44.30;265.82
1117;200200073630;911-ьюлосмэ децръпмши о/оепунрх 150лк.;оСКЭЯ ;23.08.2021;2003305;20.08.2021;апм00599853;1;77.94;20%;15.59;93.53
1118;200200073634;юпйнйяхю 120лц. ╧7 рюа. о/о/н;оСКЭЯ ;23.08.2021;2003306;20.08.2021;апм00599854;1;604.00;10%;60.40;664.40
1119;200200073642;йкнохднцпек-яг 75лц. ╧90 рюа. о/о/н /яебепмюъ гбегдю/;оСКЭЯ ;23.08.2021;2003306;20.08.2021;апм00599854;1;857.30;10%;85.73;943.03
1120;200200073690;днйрнп упюощйя яопеи лърю 60лк.;гДПЮБЯЕПБХЯ;23.08.2021;2003308;23.08.2021;E12529183/37171547;1;186.47;20%;37.29;223.76
1121;200200073694;цкюсопняр 0,005% 2,5лк. ╧1 цк.йюокх тк./йюо.;гДПЮБЯЕПБХЯ;23.08.2021;2003308;23.08.2021;E12529183/37171547;1;534.65;10%;53.46;588.11
1122;200200073703;пемч п-п д/кхмг MULTIPLUS 360/355 лк. [RENU];гДПЮБЯЕПБХЯ;23.08.2021;2003308;23.08.2021;E12529183/37171547;1;384.45;10%;38.44;422.89
1123;200200073709;мхцеоюм ╧10 ясоо. /мхфтюпл/;оПНРЕЙ;23.08.2021;2003312;23.08.2021;163893340-001;1;245.13;10%;24.51;269.64
1124;200200073713;лнкдейя аепсьх SPARK PLUGS ╧4 [MOLDEX];оПНРЕЙ;23.08.2021;2003313;23.08.2021;163893340-002;1;82.65;10%;8.27;90.92
1125;200200073739;юлнйяхйкюб 400лц.+57лц/5лк. 35ц/140лк. онп. д/ясяо. д/опхелю бмсрпэ тк. /кей/;йЮРПЕМ Ц.уХЛЙХ;24.08.2021;2003317;23.08.2021;7276082-30;1;213.93;10%;21.39;235.32
1126;200200073744;лхмнкейяхм 50лц. ╧20 йюоя.;йЮРПЕМ Ц.уХЛЙХ;24.08.2021;2003317;23.08.2021;7276082-30;1;543.31;10%;54.33;597.64
